"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pkn1",1381.22067852974,-0.47192451360452,0.0995014268496736,-4.74289192171588,2.10688687573992e-06,2.32817625199688e-05
"Zfp746",676.602844152469,-0.284098026482274,0.104555963238139,-2.71718625780537,0.00658395443697363,0.0237902477033679
"Mex3b",285.756662334011,-0.368849289374936,0.193097493877423,-1.91017129206803,0.0561111621605484,0.134246552396369
"Sh3rf2",97.5517796697803,3.33086267860346,0.507846052413243,6.55880391858018,5.42410677376522e-11,1.55912566077799e-09
"Sptan1",18693.7593381095,-0.0823268376650694,0.093972974986294,-0.876069292018018,0.380992365435247,0.549481886762949
"Gm6169",42.8192627221723,-0.505749459748509,0.310078341182721,-1.63103768492648,0.10288236803385,0.214175735350087
"Ankrd29",130.136392836767,-0.0291848009664336,0.388799201534018,-0.0750639426503043,0.940163836451713,0.967135749792541
"Cyb5d2",107.971217889666,0.236894014162095,0.226816691828202,1.04442936828267,0.296286781933715,0.461302166794738
"Ddx49",905.390096565418,-0.395366044566177,0.122458795203606,-3.22856389293084,0.00124413463268252,0.00583307418178302
"Bak1",1037.51527760752,0.0935519545211176,0.132179751455833,0.70776312930485,0.479092366639367,0.641161792391026
"Zfp119a",68.1708015965046,-0.0669020196528498,0.309624080506434,-0.216074988558454,0.828929295436819,0.902232474574875
"Rpl32",16572.7799539362,-0.56569091254035,0.193969919383241,-2.91638473810299,0.00354113536000038,0.0141726078075642
"Zfp595",138.132453398217,-0.61332244993277,0.227186529973291,-2.69964266809689,0.00694139866466,0.0247823976709324
"Fam204a",670.689737900945,0.0868739128548802,0.121553361685183,0.714697739745604,0.474795834702429,0.636684817074732
"Rpl36",3894.37065792575,0.0321298673495609,0.203122524784813,0.158179736016964,0.874315171035133,0.928569306358266
"Abat",89.1667761265899,-1.4864528846888,0.56028013787336,-2.65305297155613,0.00797673515279289,0.0278353995302028
"Cbx3-ps6",45.640298057479,0.061837937909851,0.363555246883247,0.170092271917368,0.864937571074317,0.923546224477408
"Zfp329",253.22908037334,-0.0343227291453895,0.166585105162406,-0.206037203097647,0.836761850834876,0.907067836768344
"Zfp105",86.3320056231635,1.4890041366626,0.274447022189666,5.42547018649586,5.78021777774308e-08,9.06771663883445e-07
"Camk2b",26.2863150975099,2.8464017215128,0.713886565335496,3.98719048617355,6.6860343508559e-05,0.000477777828345859
"Cacnb2",45.9991031699339,-0.372516842927182,0.588117023864549,-0.633405985222725,0.526468557492,0.681489942104053
"Itpk1",102.190141553994,0.861484284483542,0.326128071993086,2.64155207252997,0.00825271198631907,0.0286490787057794
"Fgf18",12.1025968620597,1.66288737660102,0.818678588882839,2.03118464215631,0.0422362677148946,0.106852588013059
"Sema3b",43.3277385074245,0.587975606599328,0.797308039239429,0.737450994674795,0.460848134094778,0.623693565649548
"Zfp809",337.119664865103,0.0276625626555017,0.16145507370085,0.171332879304592,0.863962028736333,0.923119452442436
"Mdn1",1613.65080919196,0.272232996783692,0.231289887098235,1.17702075174634,0.239187223607996,0.395374843253812
"Septin11",13711.5025224705,-0.574641517146033,0.228674269682929,-2.51292599706477,0.0119734448458093,0.0388053356589105
"Palld",10042.8324288645,-1.30710480184002,0.305652161578843,-4.27644547019785,1.89901044583575e-05,0.000159073246881212
"Gm10036",34.1452577230906,-0.303660346035503,0.378540749922241,-0.802186676329776,0.422444982347,0.588200759967255
